City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Celestun,MX,20.8667,-90.4,84.94,66,100,6.51,overcast clouds
300,Coquimbo,CL,-29.9533,-71.3436,58.73,67,90,11.5,overcast clouds
301,Fengzhen,CN,40.4394,113.1536,47.26,76,0,4.38,clear sky
302,Vila Velha,BR,-20.3297,-40.2925,85.95,66,0,8.05,clear sky
303,Port Keats,AU,-14.25,129.55,80.65,81,79,7.23,broken clouds
304,Cape Canaveral,US,28.4058,-80.6048,94.17,77,1,8.05,light intensity drizzle
305,Abalak,RU,58.1286,68.5944,39.97,85,57,5.97,broken clouds
306,Mercedes,AR,-34.6515,-59.4307,64.85,35,0,4.7,clear sky
307,Ornskoldsvik,SE,63.2909,18.7153,49.15,81,0,6.91,clear sky
308,Moissala,TD,8.3404,17.7663,79.74,78,61,4.61,broken clouds
309,Otane,NZ,-39.8833,176.6333,56.01,100,100,0.56,overcast clouds
310,Odweyne,SO,9.4092,45.064,79.88,50,70,7.63,broken clouds
311,San Patricio,US,28.017,-97.5169,87.69,40,0,4.32,clear sky
312,Lithgow,AU,-33.4833,150.15,48.67,91,65,1.16,broken clouds
313,Skjervoy,NO,70.0311,20.9714,37.4,64,100,23.6,light rain
314,Lorengau,PG,-2.0226,147.2712,79.65,77,43,0.72,scattered clouds
315,Holetown,BB,13.1867,-59.6381,86.56,76,61,18.95,broken clouds
316,Bandarbeyla,SO,9.4942,50.8122,81.3,74,59,19.1,broken clouds
317,Samoylovka,RU,51.184,43.7081,41.92,51,0,7.14,clear sky
318,Betare Oya,CM,5.6,14.0833,70.59,94,83,4.52,moderate rain
319,Zeya,RU,53.75,127.2667,28.69,94,44,2.68,scattered clouds
320,Tautira,PF,-17.7333,-149.15,78.82,77,13,5.97,few clouds
321,Muriti,TZ,-1.9833,32.9167,76.17,70,19,9.86,few clouds
322,Guerrero Negro,MX,27.9769,-114.0611,73.2,66,80,17.25,broken clouds
323,Okhotsk,RU,59.3833,143.3,26.01,76,8,8.66,clear sky
324,Berdigestyakh,RU,62.0989,126.6992,30.52,97,100,6.69,light snow
325,Honningsvag,NO,70.9821,25.9704,38.95,75,75,19.57,light rain
326,Luang Prabang,LA,19.8856,102.1347,76.08,75,86,0.74,overcast clouds
327,Helong,CN,42.5397,128.9972,41.41,94,1,4.97,clear sky
328,Blagoveshchensk,RU,50.2667,127.5333,36.21,100,0,4.47,clear sky
329,Aketi,CD,2.7388,23.7833,79.29,74,70,1.79,broken clouds
330,Ojhar,IN,20.1,73.9333,77.88,79,97,5.32,overcast clouds
331,Jumla,NP,29.2747,82.1838,56.66,93,64,2.19,broken clouds
332,Amalapuram,IN,16.5833,82.0167,78.57,89,11,0.65,few clouds
333,Salalah,OM,17.0151,54.0924,80.69,89,20,4.61,few clouds
334,Boffa,GN,10.1667,-14.0333,80.51,74,34,7.18,light rain
335,Meadow Lake,US,34.8014,-106.5436,73.47,44,100,4.52,overcast clouds
336,Jinchang,CN,38.4953,102.1739,58.68,45,81,5.14,broken clouds
337,Husavik,IS,66.0449,-17.3389,44.51,95,100,28.41,moderate rain
338,Vanimo,PG,-2.6741,141.3028,76.44,88,54,5.06,broken clouds
339,Les Cayes,HT,18.2,-73.75,88.27,61,17,7.38,few clouds
340,Kununurra,AU,-15.7667,128.7333,76.98,61,93,0.0,overcast clouds
341,Tiznit,MA,29.5833,-9.5,80.74,31,41,8.23,scattered clouds
